timestamp,dns,upload,download,packketloss,min,max,average
2020-10-18 13:48:53.090894,Google,4,4,0,20ms,27ms,23ms
2020-10-18 14:48:54.768549,Cloudflare,4,4,0,17ms,21ms,18ms
2020-10-18 14:48:57.818231,Google,4,4,0,22ms,42ms,32ms
2020-10-18 15:49:00.900846,Cloudflare,4,4,0,17ms,20ms,18ms
2020-10-18 15:49:03.949528,Google,4,4,0,21ms,29ms,23ms
2020-10-18 16:49:07.005231,Cloudflare,4,4,0,17ms,26ms,20ms
2020-10-18 16:49:10.053912,Google,4,4,0,21ms,46ms,30ms
2020-10-18 17:49:13.110785,Cloudflare,4,4,0,17ms,20ms,18ms
2020-10-18 17:49:16.175470,Google,4,4,0,21ms,22ms,21ms
2020-10-18 18:49:19.251790,Cloudflare,4,4,0,17ms,24ms,19ms
2020-10-18 18:49:22.340666,Google,4,4,0,21ms,21ms,21ms
2020-10-18 19:49:25.419972,Cloudflare,4,4,0,17ms,32ms,21ms
2020-10-18 19:49:28.506274,Google,4,4,0,20ms,23ms,21ms
2020-10-18 20:49:31.594598,Cloudflare,4,4,0,17ms,19ms,18ms
2020-10-18 20:49:34.651282,Google,4,4,0,22ms,47ms,30ms
2020-10-18 21:49:37.735928,Cloudflare,4,4,0,18ms,28ms,21ms
2020-10-18 21:49:40.800153,Google,4,4,0,21ms,52ms,31ms
2020-10-18 22:49:43.920708,Cloudflare,4,4,0,18ms,25ms,20ms
2020-10-18 22:49:46.998826,Google,4,4,0,21ms,33ms,25ms
